R,RHF_STO-3G,RHF_cc-pVDZ,RHF_cc-pVTZ
3.52,-0.8138709957343475,-0.9413999403067159,-0.9443413067911235
3.54,-0.8114200798036011,-0.9398298021677582,-0.9427960353189693
3.56,-0.8089913979699266,-0.9382711250194,-0.9412621202965215
3.58,-0.8065849299310703,-0.9367238698165019,-0.9397395190229256
3.6,-0.8042006487450596,-0.9351879951709706,-0.9382281872783224
3.62,-0.8018385210337826,-0.9336634574795821,-0.9367280794155364
3.64,-0.7994985071831475,-0.9321502110499642,-0.9352391484474163
3.66,-0.7971805615401321,-0.930648208224436,-0.9337613461299518
3.68,-0.7948846326069648,-0.9291573995014585,-0.932294623041317
3.7,-0.7926106632326215,-0.9276777336544073,-0.9308389286569709
3.7199999999999998,-0.7903585908018365,-0.9262091578474276,-0.9293942114209213
3.7399999999999998,-0.7881283474217737,-0.9247516177481856,-0.9279604188133195
3.76,-0.7859198601064807,-0.9233050576372672,-0.9265374974144482
3.78,-0.7837330509592402,-0.9218694205140971,-0.9251253929653092
3.8,-0.78156783735289,-0.9204446481992175,-0.9237240504248512
3.82,-0.7794241321081619,-0.9190306814327902,-0.9223334140240433
3.84,-0.777301843670086,-0.9176274599692507,-0.920953427316926
3.86,-0.7752008762824814,-0.9162349226680178,-0.9195840332285856
3.88,-0.7731211301605254,-0.9148530075802426,-0.9182251741004956
