R,RHF_STO-3G,RHF_cc-pVDZ,RHF_cc-pVTZ
2.52,-7.855584066841742,-7.970135016177699,-7.973934379736842
2.54,-7.856563834987876,-7.971290718034837,-7.9750547525251
2.56,-7.857468068523325,-7.972380554168938,-7.976109714520762
2.58,-7.858299090772013,-7.973406808347351,-7.9771015145374395
2.6,-7.859059147549605,-7.974371682141989,-7.978032323415741
2.62,-7.859750410342333,-7.975277298233211,-7.978904236880677
2.64,-7.8603749793301905,-7.976125703571483,-7.979719278295827
2.66,-7.8609348862617985,-7.976918872400081,-7.980479401318043
2.6799999999999997,-7.8614320971881995,-7.977658709141931,-7.981186492455542
2.7,-7.861868515062307,-7.978347051155019,-7.981842373532594
2.7199999999999998,-7.862245982210941,-7.978985671360731,-7.982448804063728
2.74,-7.8625662826871325,-7.9795762807503445,-7.983007483540637
2.76,-7.862831144502254,-7.9801205307749665,-7.983520053633729
2.7800000000000002,-7.863042241760695,-7.980620015624758,-7.9839881003117
2.8,-7.863201196681091,-7.981076274402977,-7.984413155880901
2.8200000000000003,-7.863309581525907,-7.981490793200963,-7.984796700947608
2.84,-7.863368920438436,-7.981865007079097,-7.985140166304847
2.8600000000000003,-7.8633806911931545,-7.982200301960007,-7.985444934746606
2.88,-7.863346326864447,-7.982498016438958,-7.985712342811315
2.9000000000000004,-7.863267217418358,-7.9827594435164135,-7.985943682457251
2.92,-7.8631447112314445,-7.982985832257737,-7.986140202671469
2.94,-7.862980116541126,-7.983178389384151,-7.986303111015018
2.96,-7.862774702831286,-7.983338280799272,-7.986433575106309
2.98,-7.862529702156789,-7.983466633054722,-7.9865327240448645
3.0,-7.86224631041032,-7.983564534758358,-7.986601649777771
3.02,-7.861925688534825,-7.983633037928177,-7.986641408410623
3.04,-7.861568963684613,-7.983673159294556,-7.986653021465612
3.06,-7.861177230337944,-7.983685881553791,-7.986637477088314
3.08,-7.860751551363613,-7.983672154574531,-7.986595731205973
3.1,-7.860292959044355,-7.983632896560112,-7.986528708638775
3.12,-7.859802456059146,-7.983568995167827,-7.986437304166406
3.14,-7.859281016426638,-7.983481308587568,-7.986322383552014
3.16,-7.858729586411931,-7.983370666581148,-7.986184784525438
3.1799999999999997,-7.85814908539847,-7.983237871483693,-7.986025317727632
3.2,-7.857540406726903,-7.983083699169018,-7.985844767618314
3.2199999999999998,-7.856904418502572,-7.982908899979605,-7.985643893348418
3.24,-7.856241964373302,-7.982714199623144,-7.985423429599313
3.26,-7.855553864278874,-7.982500300036272,-7.985184087390235
3.2800000000000002,-7.854840915173652,-7.98226788021686,-7.9849265548559565
3.3,-7.854103891723651,-7.982017597026116,-7.984651497995562
3.3200000000000003,-7.853343546979238,-7.981750085961263,-7.9843595613944665
3.34,-7.852560613024651,-7.9814659618998265,-7.9840513689205155
3.3600000000000003,-7.851755801605481,-7.981165819816793,-7.9837275243956825
3.38,-7.850929804734969,-7.980850235475318,-7.983388612244637
3.4000000000000004,-7.850083295280381,-7.980519766091989,-7.983035198120962
3.42,-7.849216927529987,-7.98017495097759,-7.9826678295123745
3.44,-7.848331337741819,-7.979816312154202,-7.982287036325844
3.46,-7.8474271446749215,-7.979444354949446,-7.981893331453528
3.48,-7.846504950103731,-7.979059568568723,-7.98148721132002
3.5,-7.845565339316457,-7.978662426646566,-7.981069156412194
3.52,-7.844608881598181,-7.978253387777063,-7.980639631791942
3.54,-7.843636130699146,-7.977832896025134,-7.980199087592766
3.56,-7.842647625288963,-7.977401381418632,-7.9797479595003065
3.58,-7.8416438893973,-7.976959260422298,-7.979286669218105
3.6,-7.840625432841594,-7.976506936394286,-7.978815624918346
3.62,-7.839592751642332,-7.97604480002574,-7.978335221678632
3.64,-7.838546328426319,-7.975573229764296,-7.977845841904897
3.66,-7.837486632818433,-7.975092592221835,-7.977347855741081
3.68,-7.8364141218223935,-7.974603242567383,-7.9768416214656845
3.7,-7.835329240190781,-7.974105524905749,-7.976327485875892
3.72,-7.834232420784895,-7.973599772641981,-7.975805784659384
3.74,-7.8331240849246315,-7.973086308832856,-7.975276842754272
3.7600000000000002,-7.832004642728928,-7.972565446525393,-7.974740974697549
3.7800000000000002,-7.830874493447024,-7.9720374890832,-7.974198484962012
3.8000000000000003,-7.829734025780668,-7.971502730500949,-7.973649668282557
3.82,-7.828583618197983,-7.970961455707434,-7.973094809971523
3.84,-7.827423639238825,-7.970413940858043,-7.972534186224031
3.86,-7.826254447812274,-7.969860453616289,-7.971968064412619
3.88,-7.825076393486156,-7.9693012534256775,-7.971396703372814
3.9,-7.823889816769204,-7.968736591771651,-7.970820353678598
3.92,-7.822695049385709,-7.968166712434396,-7.9702392579089505
3.94,-7.821492414543246,-7.967591851732583,-7.969653650905264
3.96,-7.820282227193244,-7.967012238758562,-7.969063760020088
3.98,-7.819064794284972,-7.966428095605331,-7.968469805357452
4.0,-7.8178404150129275,-7.965839637585484,-7.967872000005038
4.02,-7.8166093810577815,-7.965247073442577,-7.967270550258287
4.04,-7.815371976821078,-7.964650605555134,-7.966665655837046
4.0600000000000005,-7.814128479653808,-7.964050430133556,-7.966057510094728
4.08,-7.81287916007907,-7.963446737410281,-7.965446300220186
4.1,-7.8116242820087605,-7.9628397118233165,-7.964832207432884
4.12,-7.810364102954646,-7.962229532193655,-7.96421540717129
4.140000000000001,-7.809098874233699,-7.961616371896373,-7.963596069274782
4.16,-7.807828841167972,-7.961000399026145,-7.962974358159458
4.18,-7.806554243279076,-7.9603817765570275,-7.962350432987862
4.2,-7.80527531447719,-7.9597606624968416,-7.961724447832943
4.220000000000001,-7.803992283244999,-7.959137210036416,-7.961096551836653
4.24,-7.802705372816293,-7.958511567693741,-7.960466889362808
4.26,-7.801414801349637,-7.957883879453409,-7.959835600145221
4.28,-7.80012078209684,-7.957254284901353,-7.959202819430615
4.300000000000001,-7.798823523566644,-7.95662291935511,-7.958568678116721
4.32,-7.7975232296834385,-7.955989913989805,-7.957933302886142
4.34,-7.796220099941154,-7.95535539596005,-7.957296816335267
4.359999999999999,-7.794914329552456,-7.954719488517665,-7.956659337099372
4.38,-7.793606109593114,-7.954082311125784,-7.956020979973452
4.4,-7.792295627141966,-7.953443979569197,-7.955381856029163
4.42,-7.790983065415991,-7.95280460606095,-7.954742072727751
4.4399999999999995,-7.789668603901131,-7.952164299345801,-7.954101734029761
4.46,-7.7883524184784925,-7.9515231648001645,-7.9534609405008485
4.48,-7.787034681546104,-7.9508813045288536,-7.952819789414382
